Vendor,device_type,model,mac_address,serial_number,band_type
Nokia,ONU,G-140W-C,AA:BB:01:00:00:01,SN-ONU-00001,dual_band
ZTE,Router,Archer C6,AA:BB:02:00:00:02,SN-Router-00002,single_band
TP-Link,Modem,MB8600,AA:BB:03:00:00:03,SN-Modem-00003,dual_band
Cisco,Access Point,EAP225,AA:BB:04:00:00:04,SN-AccessPoint-00004,single_band
Huawei,Switch,SG108,AA:BB:05:00:00:05,SN-Switch-00005,dual_band
Nokia,ONT,HG8145V5,AA:BB:06:00:00:06,SN-ONT-00006,single_band
ZTE,ONU,G-140W-C,AA:BB:07:00:00:07,SN-ONU-00007,dual_band
TP-Link,Router,Archer C6,AA:BB:08:00:00:08,SN-Router-00008,single_band
Cisco,Modem,MB8600,AA:BB:09:00:00:09,SN-Modem-00009,dual_band
Huawei,Access Point,EAP225,AA:BB:0A:00:00:0A,SN-AccessPoint-00010,single_band
Nokia,Switch,SG108,AA:BB:0B:00:00:0B,SN-Switch-00011,dual_band
ZTE,ONT,HG8145V5,AA:BB:0C:00:00:0C,SN-ONT-00012,single_band
TP-Link,ONU,G-140W-C,AA:BB:0D:00:00:0D,SN-ONU-00013,dual_band
Cisco,Router,Archer C6,AA:BB:0E:00:00:0E,SN-Router-00014,single_band
Huawei,Modem,MB8600,AA:BB:0F:00:00:0F,SN-Modem-00015,dual_band
Nokia,Access Point,EAP225,AA:BB:10:00:00:10,SN-AccessPoint-00016,single_band
ZTE,Switch,SG108,AA:BB:11:00:00:11,SN-Switch-00017,dual_band
TP-Link,ONT,HG8145V5,AA:BB:12:00:00:12,SN-ONT-00018,single_band
Cisco,ONU,G-140W-C,AA:BB:13:00:00:13,SN-ONU-00019,dual_band
Huawei,Router,Archer C6,AA:BB:14:00:00:14,SN-Router-00020,single_band
Nokia,Modem,MB8600,AA:BB:15:00:00:15,SN-Modem-00021,dual_band
ZTE,Access Point,EAP225,AA:BB:16:00:00:16,SN-AccessPoint-00022,single_band
TP-Link,Switch,SG108,AA:BB:17:00:00:17,SN-Switch-00023,dual_band
Cisco,ONT,HG8145V5,AA:BB:18:00:00:18,SN-ONT-00024,single_band
Huawei,ONU,G-140W-C,AA:BB:19:00:00:19,SN-ONU-00025,dual_band
Nokia,Router,Archer C6,AA:BB:1A:00:00:1A,SN-Router-00026,single_band
ZTE,Modem,MB8600,AA:BB:1B:00:00:1B,SN-Modem-00027,dual_band
TP-Link,Access Point,EAP225,AA:BB:1C:00:00:1C,SN-AccessPoint-00028,single_band
Cisco,Switch,SG108,AA:BB:1D:00:00:1D,SN-Switch-00029,dual_band
Huawei,ONT,HG8145V5,AA:BB:1E:00:00:1E,SN-ONT-00030,single_band
Nokia,ONU,G-140W-C,AA:BB:1F:00:00:1F,SN-ONU-00031,dual_band
ZTE,Router,Archer C6,AA:BB:20:00:00:20,SN-Router-00032,single_band
TP-Link,Modem,MB8600,AA:BB:21:00:00:21,SN-Modem-00033,dual_band
Cisco,Access Point,EAP225,AA:BB:22:00:00:22,SN-AccessPoint-00034,single_band
Huawei,Switch,SG108,AA:BB:23:00:00:23,SN-Switch-00035,dual_band
Nokia,ONT,HG8145V5,AA:BB:24:00:00:24,SN-ONT-00036,single_band
ZTE,ONU,G-140W-C,AA:BB:25:00:00:25,SN-ONU-00037,dual_band
