Vendor,device_type,model,mac_address,serial_number,band_type
Huawei,ONT,HG8145V5,AA:BC:10:00:00:01,SN-ONT-00001,single_band
ZTE,ONU,F601,AA:BC:10:00:00:02,SN-ONU-00002,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:03,SN-Router-00003,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:04,SN-Switch-00004,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:05,SN-Modem-00005,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:06,SN-AccessPoint-00006,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:07,SN-Other-00007,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:08,SN-ONT-00008,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:09,SN-ONU-00009,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:0A,SN-Router-00010,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:0B,SN-Switch-00011,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:0C,SN-Modem-00012,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:0D,SN-AccessPoint-00013,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:0E,SN-Other-00014,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:0F,SN-ONT-00015,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:10,SN-ONU-00016,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:11,SN-Router-00017,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:12,SN-Switch-00018,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:13,SN-Modem-00019,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:14,SN-AccessPoint-00020,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:15,SN-Other-00021,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:16,SN-ONT-00022,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:17,SN-ONU-00023,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:18,SN-Router-00024,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:19,SN-Switch-00025,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:1A,SN-Modem-00026,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:1B,SN-AccessPoint-00027,single_band
