vendor,device_type,model,nuid,box_type
Huawei,SB,SBX-100,NUID-SB-000001,HD
ZTE,SB,SBX-200,NUID-SB-000002,OTT
Nokia,SB,SB-Pro,NUID-SB-000003,HD
Skyworth,SB,VisionBox,NUID-SB-000004,OTT
Airtel,SB,OTT-Max,NUID-SB-000005,HD
Huawei,SB,SBX-100,NUID-SB-000006,OTT
ZTE,SB,SBX-200,NUID-SB-000007,HD
Nokia,SB,SB-Pro,NUID-SB-000008,OTT
Skyworth,SB,VisionBox,NUID-SB-000009,HD
Airtel,SB,OTT-Max,NUID-SB-000010,OTT
Huawei,SB,SBX-100,NUID-SB-000011,HD
ZTE,SB,SBX-200,NUID-SB-000012,OTT
Nokia,SB,SB-Pro,NUID-SB-000013,HD
Skyworth,SB,VisionBox,NUID-SB-000014,OTT
Airtel,SB,OTT-Max,NUID-SB-000015,HD
Huawei,SB,SBX-100,NUID-SB-000016,OTT
ZTE,SB,SBX-200,NUID-SB-000017,HD
Nokia,SB,SB-Pro,NUID-SB-000018,OTT
Skyworth,SB,VisionBox,NUID-SB-000019,HD
Airtel,SB,OTT-Max,NUID-SB-000020,OTT
Huawei,SB,SBX-100,NUID-SB-000021,HD
ZTE,SB,SBX-200,NUID-SB-000022,OTT
Nokia,SB,SB-Pro,NUID-SB-000023,HD
Skyworth,SB,VisionBox,NUID-SB-000024,OTT
Airtel,SB,OTT-Max,NUID-SB-000025,HD
Huawei,SB,SBX-100,NUID-SB-000026,OTT
ZTE,SB,SBX-200,NUID-SB-000027,HD
Nokia,SB,SB-Pro,NUID-SB-000028,OTT
Skyworth,SB,VisionBox,NUID-SB-000029,HD
Airtel,SB,OTT-Max,NUID-SB-000030,OTT
Huawei,SB,SBX-100,NUID-SB-000031,HD
ZTE,SB,SBX-200,NUID-SB-000032,OTT
Nokia,SB,SB-Pro,NUID-SB-000033,HD
Skyworth,SB,VisionBox,NUID-SB-000034,OTT
Airtel,SB,OTT-Max,NUID-SB-000035,HD
Huawei,SB,SBX-100,NUID-SB-000036,OTT
ZTE,SB,SBX-200,NUID-SB-000037,HD
Nokia,SB,SB-Pro,NUID-SB-000038,OTT
Skyworth,SB,VisionBox,NUID-SB-000039,HD
Airtel,SB,OTT-Max,NUID-SB-000040,OTT
Huawei,SB,SBX-100,NUID-SB-000041,HD
ZTE,SB,SBX-200,NUID-SB-000042,OTT
Nokia,SB,SB-Pro,NUID-SB-000043,HD
Skyworth,SB,VisionBox,NUID-SB-000044,OTT
Airtel,SB,OTT-Max,NUID-SB-000045,HD
Huawei,SB,SBX-100,NUID-SB-000046,OTT
ZTE,SB,SBX-200,NUID-SB-000047,HD
Nokia,SB,SB-Pro,NUID-SB-000048,OTT
Skyworth,SB,VisionBox,NUID-SB-000049,HD
Airtel,SB,OTT-Max,NUID-SB-000050,OTT
Huawei,SB,SBX-100,NUID-SB-000051,HD
ZTE,SB,SBX-200,NUID-SB-000052,OTT
Nokia,SB,SB-Pro,NUID-SB-000053,HD
Skyworth,SB,VisionBox,NUID-SB-000054,OTT
Airtel,SB,OTT-Max,NUID-SB-000055,HD
Huawei,SB,SBX-100,NUID-SB-000056,OTT
ZTE,SB,SBX-200,NUID-SB-000057,HD
Nokia,SB,SB-Pro,NUID-SB-000058,OTT
Skyworth,SB,VisionBox,NUID-SB-000059,HD
Airtel,SB,OTT-Max,NUID-SB-000060,OTT
Huawei,SB,SBX-100,NUID-SB-000061,HD
ZTE,SB,SBX-200,NUID-SB-000062,OTT
Nokia,SB,SB-Pro,NUID-SB-000063,HD
Skyworth,SB,VisionBox,NUID-SB-000064,OTT
Airtel,SB,OTT-Max,NUID-SB-000065,HD
Huawei,SB,SBX-100,NUID-SB-000066,OTT
ZTE,SB,SBX-200,NUID-SB-000067,HD
Nokia,SB,SB-Pro,NUID-SB-000068,OTT
Skyworth,SB,VisionBox,NUID-SB-000069,HD
Airtel,SB,OTT-Max,NUID-SB-000070,OTT
Huawei,SB,SBX-100,NUID-SB-000071,HD
ZTE,SB,SBX-200,NUID-SB-000072,OTT
Nokia,SB,SB-Pro,NUID-SB-000073,HD
Skyworth,SB,VisionBox,NUID-SB-000074,OTT
Airtel,SB,OTT-Max,NUID-SB-000075,HD
Huawei,SB,SBX-100,NUID-SB-000076,OTT
ZTE,SB,SBX-200,NUID-SB-000077,HD
Nokia,SB,SB-Pro,NUID-SB-000078,OTT
Skyworth,SB,VisionBox,NUID-SB-000079,HD
Airtel,SB,OTT-Max,NUID-SB-000080,OTT
Huawei,SB,SBX-100,NUID-SB-000081,HD
